featureID,bedrooms,bathrooms,squareFootage,lotSize,features
0,2.0,2.0,900.0,436.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Package', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}"
1,0.0,0.0,0.0,0.0,nan
2,6.0,6.0,6724.0,43560.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Baseboard', 'roomCount': 11, 'unitCount': 1}"
3,3.0,2.0,1223.0,6499.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
4,0.0,0.0,0.0,139392.0,nan
5,3.0,2.0,1242.0,7184.0,"{'architectureType': 'Conventional', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 7, 'unitCount': 1}"
6,2.0,1.0,1004.0,5227.0,"{'exteriorType': 'Metal', 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1, 'garageSpaces': 2}"
7,6.0,4.0,2130.0,0.0,nan
8,3.0,1.0,1983.0,7148.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}"
9,0.0,1.5,1275.0,43560.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick Veneer', 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 6, 'garage': True, 'garageType': 'Carport'}"
10,3.0,4.0,778.0,0.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage'}"
11,1.0,1.0,829.0,0.0,nan
12,4.0,2.5,2148.0,16553.0,nan
13,4.0,2.5,2576.0,7603.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 7}"
14,0.0,0.0,0.0,22009.0,nan
15,0.0,2.0,1992.0,3049.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
16,5.0,4.5,3809.0,20473.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}"
17,2.0,1.0,0.0,0.0,nan
