locationID,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude
0,"9641 W Chatfield Ave Unit D, Littleton, CO 80128",9641 W Chatfield Ave Unit D,Unknown,Littleton,CO,80128,Jefferson,39.567929,-105.10263
1,"769 Creekwater Ter, Apt 113, Lake Mary, FL 32746",769 Creekwater Ter,Apt 113,Lake Mary,FL,32746,Seminole,28.75114,-81.345657
2,"2490 Dauer Ct, Powell, OH 43065",2490 Dauer Ct,Unknown,Powell,OH,43065,Delaware,40.189841,-83.075546
3,"7608 Parkside Trl, Fort Worth, TX 76137",7608 Parkside Trl,Unknown,Fort Worth,TX,76137,Tarrant,32.874733,-97.278545
4,"Catherine Dr, Unit 3028, Edwards, MO 65326",Catherine Dr,Unit 3028,Edwards,MO,65326,Benton,38.21464,-93.19717
5,"1312 Edgehill Dr, Pomona, CA 91767",1312 Edgehill Dr,Unknown,Pomona,CA,91767,Los Angeles,34.073291,-117.724747
6,"4117 5th Ave S, Minneapolis, MN 55409",4117 5th Ave S,Unknown,Minneapolis,MN,55409,Hennepin,44.928139,-93.268495
7,"216 Springfield Cir, Easley, SC 29642",216 Springfield Cir,Unknown,Easley,SC,29642,Pickens,34.804661,-82.591354
8,"3415 Livingston Ln, Carrollton, TX 75007",3415 Livingston Ln,Unknown,Carrollton,TX,75007,Denton,33.008663,-96.867734
9,"2099 Ms Hwy, 182, Starkville, MS 39759",2099 Ms Hwy,182,Starkville,MS,39759,Oktibbeha,33.481987,-88.929115
10,"742 Erika St, O Fallon, IL 62269",742 Erika St,Unknown,O Fallon,IL,62269,Saint Clair,38.585731,-89.921276
11,"345 E Wacker Dr, Apt 1604, Chicago, IL 60601",345 E Wacker Dr,Apt 1604,Chicago,IL,60601,Cook,41.887135,-87.618996
12,"7453 N Mohawk Rd, Fox Point, WI 53217",7453 N Mohawk Rd,Unknown,Fox Point,WI,53217,Milwaukee,43.152239,-87.91159
13,"11910 Thoroughbred Dr, Apt 1201, Houston, TX 77065",11910 Thoroughbred Dr,Apt 1201,Houston,TX,77065,Harris,29.908989,-95.595485
14,"6702 Crest Pl, San Antonio, TX 78233",6702 Crest Pl,Unknown,San Antonio,TX,78233,Bexar,29.539089,-98.355472
15,"6043 E Rosewood St, Unit 1, Tucson, AZ 85711",6043 E Rosewood St,Unit 1,Tucson,AZ,85711,Pima,32.232515,-110.863156
16,"8633 Crownhill Blvd, San Antonio, TX 78209",8633 Crownhill Blvd,Unknown,San Antonio,TX,78209,Bexar,29.515031,-98.46185
17,"7319 Coastal Dr, Harrison, TN 37341",7319 Coastal Dr,Unknown,Harrison,TN,37341,Unknown,35.158575,-85.07289
18,"163 Hilda Grace Ln, Cary, NC 27519",163 Hilda Grace Ln,Unknown,Cary,NC,27519,Wake,35.782239,-78.854654
19,"6695 Sunbriar Dr, Cumming, GA 30040",6695 Sunbriar Dr,Unknown,Cumming,GA,30040,Forsyth,34.179064,-84.199694
20,"Bells Neck Rd, West Harwich, MA 02671",Bells Neck Rd,Unknown,West Harwich,MA,2671,Barnstable County,41.680011,-70.115735
21,"13912 Coyote Rd NW, Bemidji, MN 56601",13912 Coyote Rd NW,Unknown,Bemidji,MN,56601,Beltrami,47.605125,-95.034658
22,"3010 E Idlewild Ave, Tampa, FL 33610",3010 E Idlewild Ave,Unknown,Tampa,FL,33610,Hillsborough,28.001484,-82.425519
23,"59 Chateau Dr, Melville, NY 11747",59 Chateau Dr,Unknown,Melville,NY,11747,Suffolk,40.76947,-73.375194
24,"3721 N Land Ave, Oklahoma City, OK 73112",3721 N Land Ave,Unknown,Oklahoma City,OK,73112,Oklahoma,35.508639,-97.572206
25,"579 Meadowbrook Farms Rd, Green Cove Springs, FL 32043",579 Meadowbrook Farms Rd,Unknown,Green Cove Springs,FL,32043,Clay,29.915762,-81.646649
26,"311 Creek Bend Dr, League City, TX 77573",311 Creek Bend Dr,Unknown,League City,TX,77573,Galveston,29.48526,-95.153808
27,"7813 S Blackwelder Ave, Oklahoma City, OK 73159",7813 S Blackwelder Ave,Unknown,Oklahoma City,OK,73159,Oklahoma,35.3881,-97.53951
28,"4602 Delashmitt Rd, Apt A, Hixson, TN 37343",4602 Delashmitt Rd,Apt A,Hixson,TN,37343,Hamilton,35.128962,-85.265333
29,"3379 North Ct, Ellenwood, GA 30294",3379 North Ct,Unknown,Ellenwood,GA,30294,Clayton,33.638265,-84.278251
30,"15165 87th Rd N, Loxahatchee, FL 33470",15165 87th Rd N,Unknown,Loxahatchee,FL,33470,Palm Beach,26.806859,-80.279708
31,"133 Livingston St, Apt 3, Buffalo, NY 14213",133 Livingston St,Apt 3,Buffalo,NY,14213,Erie,42.919207,-78.883114
32,"425 Ne 5th Ct, Boca Raton, FL 33432",425 Ne 5th Ct,Unknown,Boca Raton,FL,33432,Palm Beach,26.355912,-80.07923
33,"450 Rainier Way, Hemet, CA 92543",450 Rainier Way,Unknown,Hemet,CA,92543,Riverside,33.74066,-116.982593
34,"1565 Madison St, Ste B, Oakland, CA 94612",1565 Madison St,Ste B,Oakland,CA,94612,Alameda,37.803697,-122.262907
35,"2814 Northampton Dr, Greensboro, NC 27408",2814 Northampton Dr,Unknown,Greensboro,NC,27408,Guilford,36.094559,-79.835013
